[2025-01-15 01:03:38,056] 16 root - INFO - Initiate the data ingestion
[2025-01-15 01:03:43,369] 61 root - INFO - Performed train test split on the dataframe
[2025-01-15 01:03:43,369] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-15 01:03:43,369] 71 root - INFO - Exporting train and test file path.
[2025-01-15 01:03:43,415] 80 root - INFO - Exported train and test file path.
[2025-01-15 01:03:43,415] 18 root - INFO - Data Initiation Completed
[2025-01-15 01:03:43,437] 22 root - INFO - Initiate the data Validation
[2025-01-15 01:03:43,528] 31 root - INFO - Required number of columns:2
[2025-01-15 01:03:43,530] 32 root - INFO - Data Frame has columns:31
[2025-01-15 01:03:43,530] 31 root - INFO - Required number of columns:2
[2025-01-15 01:03:43,530] 32 root - INFO - Data Frame has columns:31
[2025-01-15 01:03:43,611] 24 root - INFO - Initiate Validation Completed
[2025-01-15 01:03:43,626] 27 root - INFO - data Transformation started
[2025-01-15 01:03:43,626] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-15 01:03:43,626] 65 root - INFO - Strating data transformation
[2025-01-15 01:03:43,644] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
