[2025-01-17 01:52:44,424] 17 root - INFO - Initiate the data ingestion
[2025-01-17 01:53:08,176] 61 root - INFO - Performed train test split on the dataframe
[2025-01-17 01:53:08,176] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-17 01:53:08,176] 71 root - INFO - Exporting train and test file path.
[2025-01-17 01:53:08,226] 80 root - INFO - Exported train and test file path.
[2025-01-17 01:53:08,226] 19 root - INFO - Data Initiation Completed
[2025-01-17 01:53:08,239] 23 root - INFO - Initiate the data Validation
[2025-01-17 01:53:08,308] 31 root - INFO - Required number of columns:2
[2025-01-17 01:53:08,308] 32 root - INFO - Data Frame has columns:31
[2025-01-17 01:53:08,308] 31 root - INFO - Required number of columns:2
[2025-01-17 01:53:08,308] 32 root - INFO - Data Frame has columns:31
[2025-01-17 01:53:08,412] 25 root - INFO - Initiate Validation Completed
[2025-01-17 01:53:08,412] 28 root - INFO - data Transformation started
[2025-01-17 01:53:08,412] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-17 01:53:08,412] 65 root - INFO - Strating data transformation
[2025-01-17 01:53:08,434] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-01-17 01:53:08,434] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-17 01:53:08,455] 47 root - INFO - Entered the save_object method of Mainutils class
[2025-01-17 01:53:08,459] 51 root - INFO - Exited the save_object method of Mainutils class
[2025-01-17 01:53:08,460] 32 root - INFO - data Transformation completed
[2025-01-17 01:53:08,460] 34 root - INFO - Model Training started
