[2025-01-15 01:07:44,298] 16 root - INFO - Initiate the data ingestion
[2025-01-15 01:07:47,556] 61 root - INFO - Performed train test split on the dataframe
[2025-01-15 01:07:47,556] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-15 01:07:47,556] 71 root - INFO - Exporting train and test file path.
[2025-01-15 01:07:47,588] 80 root - INFO - Exported train and test file path.
[2025-01-15 01:07:47,588] 18 root - INFO - Data Initiation Completed
[2025-01-15 01:07:47,603] 22 root - INFO - Initiate the data Validation
[2025-01-15 01:07:47,661] 31 root - INFO - Required number of columns:2
[2025-01-15 01:07:47,661] 32 root - INFO - Data Frame has columns:31
[2025-01-15 01:07:47,661] 31 root - INFO - Required number of columns:2
[2025-01-15 01:07:47,661] 32 root - INFO - Data Frame has columns:31
[2025-01-15 01:07:47,775] 24 root - INFO - Initiate Validation Completed
[2025-01-15 01:07:47,775] 27 root - INFO - data Transformation started
[2025-01-15 01:07:47,775] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-15 01:07:47,775] 65 root - INFO - Strating data transformation
[2025-01-15 01:07:47,798] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-01-15 01:07:47,798] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-15 01:07:47,813] 45 root - INFO - Entered the save_object method of Mainutils class
[2025-01-15 01:07:47,815] 49 root - INFO - Exited the save_object method of Mainutils class
[2025-01-15 01:07:47,815] 31 root - INFO - data Transformation completed
