[2025-01-17 11:37:52,124] 17 root - INFO - Initiate the data ingestion
[2025-01-17 11:37:54,567] 61 root - INFO - Performed train test split on the dataframe
[2025-01-17 11:37:54,567] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-17 11:37:54,567] 71 root - INFO - Exporting train and test file path.
[2025-01-17 11:37:54,614] 80 root - INFO - Exported train and test file path.
[2025-01-17 11:37:54,614] 19 root - INFO - Data Initiation Completed
[2025-01-17 11:37:54,614] 23 root - INFO - Initiate the data Validation
[2025-01-17 11:37:54,686] 31 root - INFO - Required number of columns:2
[2025-01-17 11:37:54,693] 32 root - INFO - Data Frame has columns:31
[2025-01-17 11:37:54,693] 31 root - INFO - Required number of columns:2
[2025-01-17 11:37:54,693] 32 root - INFO - Data Frame has columns:31
[2025-01-17 11:37:54,806] 25 root - INFO - Initiate Validation Completed
[2025-01-17 11:37:54,808] 28 root - INFO - data Transformation started
[2025-01-17 11:37:54,808] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-17 11:37:54,808] 65 root - INFO - Strating data transformation
[2025-01-17 11:37:54,825] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-01-17 11:37:54,825] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-17 11:37:54,840] 47 root - INFO - Entered the save_object method of Mainutils class
[2025-01-17 11:37:54,840] 51 root - INFO - Exited the save_object method of Mainutils class
[2025-01-17 11:37:54,840] 32 root - INFO - data Transformation completed
[2025-01-17 11:37:54,840] 34 root - INFO - Model Training started
[2025-01-17 11:43:35,113] 47 root - INFO - Entered the save_object method of Mainutils class
[2025-01-17 11:43:35,129] 51 root - INFO - Exited the save_object method of Mainutils class
[2025-01-17 11:43:35,129] 111 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_17_2025_11_37_49\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991869918699187, precision_score=0.991869918699187, recall_score=0.991869918699187), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9713362939039161, precision_score=0.9701612903225807, recall_score=0.9725141471301536))
[2025-01-17 11:43:35,129] 39 root - INFO - Model Training artifact created
